No,Kode,NamaPerusahaan,papanPencatatan,Sektor,numSelisih,numPenutupan,numGainers,Gainers,numVolume,Volume,numNilai,Nilai,numFreq,Freq
352,INCO,Vale Indonesia Tbk.,Utama,Basic Materials,125,6750,1.89%,gainersRendah,8740000,volumeRendah,58200567500,nilaiSedang nilaiRendah,4309,freqSedang freqRendah
353,INDF,Indofood Sukses Makmur Tbk.,Utama,Noncyc,75,6450,1.18%,gainersRendah,6942100,volumeRendah,44527915000,nilaiSedang nilaiRendah,3252,freqSedang freqRendah
354,INDO,Royalindo Investa Wijaya Tbk.,Pengembangan,Properties & Real Estate,-4,117,-3.31%,gainersRendah,8765100,volumeRendah,1045273300,nilaiRendah,787,freqRendah
355,INDR,Indo-Rama Synthetics Tbk.,Utama,Cyclic,50,5950,0.85%,gainersRendah,247000,volumeRendah,1472150000,nilaiRendah,457,freqRendah
356,INDS,Indospring Tbk.,Pengembangan,Cyclic,20,2010,1.01%,gainersRendah,500,volumeRendah,1006000,nilaiRendah,3,freqRendah
357,INDX,Tanah Laut Tbk,Pengembangan,Industrials,0,246,0.00%,gainersRendah,10866800,volumeRendah,2750248400,nilaiRendah,2483,freqRendah
358,INDY,Indika Energy Tbk.,Utama,Energy,-40,2990,-1.32%,gainersRendah,7862900,volumeRendah,23505606000,nilaiSedang nilaiRendah,3099,freqSedang freqRendah
359,INKP,Indah Kiat Pulp & Paper Tbk.,Utama,Basic Materials,575,10300,5.91%,gainersSedang gainersRendah,16509000,volumeRendah,168164370000,nilaiTinggi nilaiSedang nilaiRendah,9732,freqSedang freqRendah
360,INOV,Inocycle Technology Group Tbk.,Pengembangan,Cyclic,4,138,2.99%,gainersSedang gainersRendah,4716900,volumeRendah,629832500,nilaiRendah,306,freqRendah
361,INPC,Bank Artha Graha Internasional Tbk.,Utama,Financials,0,84,0.00%,gainersRendah,1515200,volumeRendah,126516300,nilaiRendah,113,freqRendah
362,INPP,Indonesian Paradise Property Tbk.,Pengembangan,Properties & Real Estate,2,418,0.48%,gainersRendah,2700,volumeRendah,1054200,nilaiRendah,3,freqRendah
363,INPS,Indah Prakasa Sentosa Tbk.,Pengembangan,Energy,15,765,2.00%,gainersSedang gainersRendah,6700,volumeRendah,5102000,nilaiRendah,16,freqRendah
364,INRU,Toba Pulp Lestari Tbk.,Pengembangan,Basic Materials,5,740,0.68%,gainersRendah,25500,volumeRendah,18661000,nilaiRendah,48,freqRendah
365,INTA,Intraco Penta Tbk.,Pengembangan,Industrials,0,74,0.00%,gainersRendah,0,volumeRendah,0,nilaiRendah,0,freqRendah
366,INTD,Inter Delta Tbk,Pengembangan,Basic Materials,2,190,1.06%,gainersRendah,2200,volumeRendah,416500,nilaiRendah,6,freqRendah
367,INTP,Indocement Tunggal Prakarsa Tbk.,Utama,Basic Materials,375,10475,3.71%,gainersSedang gainersRendah,12776900,volumeRendah,133755902500,nilaiSedang nilaiRendah,6204,freqSedang freqRendah
368,IPAC,Era Graharealty Tbk.,Akselerasi,Properties & Real Estate,-1,125,-0.79%,gainersRendah,10700,volumeRendah,1288300,nilaiRendah,26,freqRendah
369,IPCC,Indonesia Kendaraan Terminal Tbk.,Utama,Infrasctructures,25,620,4.20%,gainersSedang gainersRendah,10542100,volumeRendah,6390916500,nilaiRendah,1303,freqRendah
370,IPCM,Jasa Armada Indonesia Tbk.,Utama,Infrasctructures,4,286,1.42%,gainersRendah,4788200,volumeRendah,1366561000,nilaiRendah,613,freqRendah
371,IPOL,Indopoly Swakarsa Industry Tbk.,Utama,Basic Materials,-4,156,-2.50%,gainersRendah,36290000,volumeSedang volumeRendah,5762485200,nilaiRendah,888,freqRendah
372,IPPE,Indo Pureco Pratama Tbk.,Pengembangan,Noncyc,8,244,3.39%,gainersSedang gainersRendah,97584800,volumeSedang volumeRendah,23824891200,nilaiSedang nilaiRendah,9883,freqSedang freqRendah
373,IPTV,MNC Vision Networks Tbk.,Utama,Cyclic,-1,81,-1.22%,gainersRendah,13722600,volumeRendah,1114052000,nilaiRendah,802,freqRendah
374,IRRA,Itama Ranoraya Tbk.,Pengembangan,Healthcare,-20,1165,-1.69%,gainersRendah,1700100,volumeRendah,1974014500,nilaiRendah,343,freqRendah
375,ISAT,Indosat Tbk.,Utama,Infrasctructures,-125,6700,-1.83%,gainersRendah,1515800,volumeRendah,10152955000,nilaiRendah,1143,freqRendah
376,ISSP,Steel Pipe Industry of Indonesia Tbk.,Utama,Basic Materials,2,268,0.75%,gainersRendah,3218100,volumeRendah,850685400,nilaiRendah,522,freqRendah
377,ITIC,Indonesian Tobacco Tbk.,Pengembangan,Noncyc,-6,276,-2.13%,gainersRendah,738600,volumeRendah,205853200,nilaiRendah,170,freqRendah
378,ITMA,Sumber Energi Andalan Tbk.,Pengembangan,Energy,0,1010,0.00%,gainersRendah,494800,volumeRendah,496317000,nilaiRendah,299,freqRendah
379,ITMG,Indo Tambangraya Megah Tbk.,Utama,Energy,0,43600,0.00%,gainersRendah,3427500,volumeRendah,149573677500,nilaiSedang nilaiRendah,4703,freqSedang freqRendah
380,JARR,Jhonlin Agro Raya Tbk.,Pengembangan,Noncyc,-2,310,-0.64%,gainersRendah,565100,volumeRendah,176239600,nilaiRendah,134,freqRendah
381,JAST,Jasnita Telekomindo Tbk.,Pengembangan,Infrasctructures,-1,96,-1.03%,gainersRendah,3232300,volumeRendah,308295400,nilaiRendah,586,freqRendah
382,JAWA,Jaya Agra Wattie Tbk.,Utama,Noncyc,-2,130,-1.52%,gainersRendah,1169800,volumeRendah,152479200,nilaiRendah,179,freqRendah
383,JAYA,Armada Berjaya Trans Tbk.,Pengembangan,Transportation & Logistic,-8,110,-6.78%,gainersRendah,30136700,volumeSedang volumeRendah,3355810900,nilaiRendah,1858,freqRendah
384,JECC,Jembo Cable Company Tbk.,Pengembangan,Industrials,0,4660,0.00%,gainersRendah,0,volumeRendah,0,nilaiRendah,0,freqRendah
385,JGLE,Graha Andrasentra Propertindo Tbk.,Pengembangan,Cyclic,0,50,0.00%,gainersRendah,0,volumeRendah,0,nilaiRendah,0,freqRendah
386,JIHD,Jakarta International Hotels & Development Tbk.,Pengembangan,Cyclic,4,340,1.19%,gainersRendah,165900,volumeRendah,57936800,nilaiRendah,39,freqRendah
387,JKON,Jaya Konstruksi Manggala Pratama Tbk.,Utama,Infrasctructures,-2,162,-1.22%,gainersRendah,50366100,volumeSedang volumeRendah,8244023500,nilaiRendah,7089,freqSedang freqRendah
388,JKSW,Jakarta Kyoei Steel Works Tbk.,Pengembangan,Basic Materials,0,60,0.00%,gainersRendah,0,volumeRendah,0,nilaiRendah,0,freqRendah
389,JMAS,Asuransi Jiwa Syariah Jasa Mitra Abadi Tbk.,Pengembangan,Financials,-4,125,-3.10%,gainersRendah,7705900,volumeRendah,997263200,nilaiRendah,1370,freqRendah
390,JPFA,Japfa Comfeed Indonesia Tbk.,Utama,Noncyc,-10,1365,-0.73%,gainersRendah,18655200,volumeRendah,25440823000,nilaiSedang nilaiRendah,10107,freqSedang freqRendah
391,JRPT,Jaya Real Property Tbk.,Utama,Properties & Real Estate,-4,456,-0.87%,gainersRendah,2870500,volumeRendah,1308892200,nilaiRendah,276,freqRendah
392,JSKY,Sky Energy Indonesia Tbk.,Utama,Energy,0,52,0.00%,gainersRendah,0,volumeRendah,0,nilaiRendah,0,freqRendah
393,JSMR,Jasa Marga (Persero) Tbk.,Utama,Infrasctructures,0,3330,0.00%,gainersRendah,3917500,volumeRendah,12927443000,nilaiRendah,1706,freqRendah
394,JSPT,Jakarta Setiabudi Internasional Tbk.,Pengembangan,Cyclic,0,850,0.00%,gainersRendah,100,volumeRendah,85000,nilaiRendah,1,freqRendah
395,JTPE,Jasuindo Tiga Perkasa Tbk.,Pengembangan,Industrials,2,272,0.74%,gainersRendah,274000,volumeRendah,73914000,nilaiRendah,30,freqRendah
396,KAEF,Kimia Farma Tbk.,Utama,Healthcare,10,1195,0.84%,gainersRendah,212800,volumeRendah,254169000,nilaiRendah,132,freqRendah
397,KARW,ICTSI Jasa Prima Tbk.,Pengembangan,Infrasctructures,8,94,9.30%,gainersSedang gainersRendah,5268800,volumeRendah,476778500,nilaiRendah,1014,freqRendah
398,KAYU,Darmi Bersaudara Tbk.,Pengembangan,Basic Materials,0,50,0.00%,gainersRendah,400,volumeRendah,20000,nilaiRendah,2,freqRendah
399,KBAG,Karya Bersama Anugerah Tbk.,Pengembangan,Properties & Real Estate,0,50,0.00%,gainersRendah,65500,volumeRendah,3275000,nilaiRendah,17,freqRendah
400,KBLI,KMI Wire & Cable Tbk.,Utama,Industrials,10,320,3.23%,gainersSedang gainersRendah,2793400,volumeRendah,886934600,nilaiRendah,121,freqRendah
401,KBLM,Kabelindo Murni Tbk.,Pengembangan,Industrials,-4,256,-1.54%,gainersRendah,267600,volumeRendah,68745600,nilaiRendah,55,freqRendah
402,KBLV,First Media Tbk.,Pengembangan,Infrasctructures,-2,156,-1.27%,gainersRendah,892800,volumeRendah,139713500,nilaiRendah,125,freqRendah
403,KBRI,Kertas Basuki Rachmat Indonesia Tbk.,Pengembangan,Basic Materials,0,50,0.00%,gainersRendah,0,volumeRendah,0,nilaiRendah,0,freqRendah
404,KDSI,Kedawung Setia Industrial Tbk.,Pengembangan,Basic Materials,0,1020,0.00%,gainersRendah,5558800,volumeRendah,5659918000,nilaiRendah,220,freqRendah
405,KEEN,Kencana Energi Lestari Tbk.,Utama,Infrasctructures,-15,695,-2.11%,gainersRendah,1596200,volumeRendah,1118789500,nilaiRendah,338,freqRendah
406,KEJU,Mulia Boga Raya Tbk.,Pengembangan,Noncyc,-5,1430,-0.35%,gainersRendah,1100,volumeRendah,1563000,nilaiRendah,7,freqRendah
407,KIAS,Keramika Indonesia Assosiasi Tbk.,Pengembangan,Industrials,0,50,0.00%,gainersRendah,0,volumeRendah,0,nilaiRendah,0,freqRendah
408,KICI,Kedaung Indah Can Tbk,Utama,Cyclic,0,206,0.00%,gainersRendah,172200,volumeRendah,34057500,nilaiRendah,63,freqRendah
409,KIJA,Kawasan Industri Jababeka Tbk.,Utama,Properties & Real Estate,0,150,0.00%,gainersRendah,2907400,volumeRendah,432870900,nilaiRendah,302,freqRendah
410,KINO,Kino Indonesia Tbk.,Utama,Noncyc,-5,1735,-0.29%,gainersRendah,384000,volumeRendah,668559000,nilaiRendah,295,freqRendah
411,KIOS,Kioson Komersial Indonesia Tbk.,Pengembangan,Technology,8,474,1.72%,gainersRendah,44914000,volumeSedang volumeRendah,21432600600,nilaiSedang nilaiRendah,2273,freqRendah
412,KJEN,Krida Jaringan Nusantara Tbk.,Pengembangan,Transportation & Logistic,-6,184,-3.16%,gainersRendah,12418500,volumeRendah,2349666000,nilaiRendah,2529,freqRendah
413,KKES,Kusuma Kemindo Sentosa Tbk.,Pengembangan,Basic Materials,1,136,0.74%,gainersRendah,15720200,volumeRendah,2147765400,nilaiRendah,967,freqRendah
414,KKGI,Resource Alam Indonesia Tbk.,Utama,Energy,-35,535,-6.14%,gainersRendah,11682300,volumeRendah,6335556000,nilaiRendah,2227,freqRendah
415,KLBF,Kalbe Farma Tbk.,Utama,Healthcare,-5,1965,-0.25%,gainersRendah,33585400,volumeSedang volumeRendah,65494338000,nilaiSedang nilaiRendah,4904,freqSedang freqRendah
416,KLIN,Klinko Karya Imaji Tbk.,Akselerasi,Cyclic,0,46,0.00%,gainersRendah,25579200,volumeSedang volumeRendah,1176497200,nilaiRendah,142,freqRendah
417,KMDS,Kurniamitra Duta Sentosa Tbk.,Pengembangan,Noncyc,-20,505,-3.81%,gainersRendah,286800,volumeRendah,145169000,nilaiRendah,120,freqRendah
418,KMTR,Kirana Megatara Tbk.,Pengembangan,Basic Materials,0,276,0.00%,gainersRendah,400,volumeRendah,108800,nilaiRendah,4,freqRendah
419,KOBX,Kobexindo Tractors Tbk.,Utama,Industrials,-2,396,-0.50%,gainersRendah,981000,volumeRendah,385649800,nilaiRendah,232,freqRendah
420,KOIN,Kokoh Inti Arebama Tbk,Pengembangan,Industrials,-1,136,-0.73%,gainersRendah,200,volumeRendah,27200,nilaiRendah,2,freqRendah
421,KONI,Perdana Bangun Pusaka Tbk,Pengembangan,Industrials,0,2160,0.00%,gainersRendah,300,volumeRendah,647000,nilaiRendah,3,freqRendah
422,KOPI,Mitra Energi Persada Tbk.,Pengembangan,Energy,20,555,3.74%,gainersSedang gainersRendah,254500,volumeRendah,134793000,nilaiRendah,106,freqRendah
423,KOTA,DMS Propertindo Tbk.,Utama,Properties & Real Estate,0,50,0.00%,gainersRendah,14400,volumeRendah,720000,nilaiRendah,10,freqRendah
424,KPAL,Steadfast Marine Tbk.,Pengembangan,Industrials,0,50,0.00%,gainersRendah,0,volumeRendah,0,nilaiRendah,0,freqRendah
425,KPAS,Cottonindo Ariesta Tbk.,Pengembangan,Noncyc,0,62,0.00%,gainersRendah,0,volumeRendah,0,nilaiRendah,0,freqRendah
426,KPIG,MNC Land Tbk.,Pengembangan,Cyclic,-1,81,-1.22%,gainersRendah,9464700,volumeRendah,768919300,nilaiRendah,347,freqRendah
427,KRAH,Grand Kartech Tbk.,Pengembangan,Industrials,0,436,0.00%,gainersRendah,0,volumeRendah,0,nilaiRendah,0,freqRendah
428,KRAS,Krakatau Steel (Persero) Tbk.,Utama,Basic Materials,6,354,1.72%,gainersRendah,7810900,volumeRendah,2755437800,nilaiRendah,981,freqRendah
429,KREN,Kresna Graha Investama Tbk.,Utama,Technology,0,50,0.00%,gainersRendah,14900,volumeRendah,745000,nilaiRendah,7,freqRendah
430,KRYA,Bangun Karya Perkasa Jaya Tbk.,Pengembangan,Infrasctructures,54,360,17.65%,gainersTinggi gainersSedang gainersRendah,170557100,volumeSedang volumeRendah,57852666200,nilaiSedang nilaiRendah,18538,freqTinggi freqSedang freqRendah
431,KUAS,Ace Oldfields Tbk.,Pengembangan,Industrials,-4,62,-6.06%,gainersRendah,14393400,volumeRendah,917715100,nilaiRendah,854,freqRendah
432,LABA,Ladangbaja Murni Tbk.,Pengembangan,Industrials,1,124,0.81%,gainersRendah,238200,volumeRendah,29272900,nilaiRendah,93,freqRendah
433,LAND,Trimitra Propertindo Tbk.,Pengembangan,Properties & Real Estate,0,50,0.00%,gainersRendah,1327800,volumeRendah,66390000,nilaiRendah,134,freqRendah
434,LAPD,Leyand International Tbk.,Pengembangan,Infrasctructures,0,50,0.00%,gainersRendah,0,volumeRendah,0,nilaiRendah,0,freqRendah
435,LCGP,Eureka Prima Jakarta Tbk.,Pengembangan,Properties & Real Estate,0,114,0.00%,gainersRendah,0,volumeRendah,0,nilaiRendah,0,freqRendah
436,LCKM,LCK Global Kedaton Tbk.,Pengembangan,Infrasctructures,0,314,0.00%,gainersRendah,0,volumeRendah,0,nilaiRendah,0,freqRendah
437,LEAD,Logindo Samudramakmur Tbk.,Utama,Energy,0,99,0.00%,gainersRendah,44695000,volumeSedang volumeRendah,4354540800,nilaiRendah,1823,freqRendah
438,LFLO,Imago Mulia Persada Tbk.,Akselerasi,Cyclic,0,60,0.00%,gainersRendah,35300,volumeRendah,2117100,nilaiRendah,8,freqRendah
439,LIFE,Asuransi Jiwa Sinarmas MSIG Tbk.,Utama,Financials,0,6125,0.00%,gainersRendah,0,volumeRendah,0,nilaiRendah,0,freqRendah
440,LINK,Link Net Tbk.,Utama,Infrasctructures,40,2870,1.41%,gainersRendah,160200,volumeRendah,459822000,nilaiRendah,376,freqRendah
441,LION,Lion Metal Works Tbk.,Utama,Industrials,-20,386,-4.93%,gainersRendah,6700,volumeRendah,2601600,nilaiRendah,15,freqRendah
442,LMAS,Limas Indonesia Makmur Tbk,Pengembangan,Technology,0,50,0.00%,gainersRendah,0,volumeRendah,0,nilaiRendah,0,freqRendah
443,LMPI,Langgeng Makmur Industri Tbk.,Pengembangan,Cyclic,-1,140,-0.71%,gainersRendah,63300,volumeRendah,8907100,nilaiRendah,11,freqRendah
444,LMSH,Lionmesh Prima Tbk.,Pengembangan,Basic Materials,25,700,3.70%,gainersSedang gainersRendah,3400,volumeRendah,2362500,nilaiRendah,10,freqRendah
445,LPCK,Lippo Cikarang Tbk,Utama,Properties & Real Estate,10,1070,0.94%,gainersRendah,135200,volumeRendah,143084500,nilaiRendah,43,freqRendah
446,LPGI,Lippo General Insurance Tbk.,Utama,Financials,-125,5200,-2.35%,gainersRendah,10700,volumeRendah,55685000,nilaiRendah,68,freqRendah
447,LPIN,Multi Prima Sejahtera Tbk,Pengembangan,Cyclic,2,396,0.51%,gainersRendah,150900,volumeRendah,58815400,nilaiRendah,86,freqRendah
448,LPKR,Lippo Karawaci Tbk.,Utama,Properties & Real Estate,-1,97,-1.02%,gainersRendah,41390900,volumeSedang volumeRendah,4079779900,nilaiRendah,5333,freqSedang freqRendah
449,LPLI,Star Pacific Tbk,Pengembangan,Properties & Real Estate,2,272,0.74%,gainersRendah,2000,volumeRendah,553400,nilaiRendah,7,freqRendah
450,LPPF,Matahari Department Store Tbk.,Utama,Cyclic,30,4800,0.63%,gainersRendah,970500,volumeRendah,4628988000,nilaiRendah,1174,freqRendah
451,LPPS,Lenox Pasifik Investama Tbk.,Pengembangan,Financials,0,83,0.00%,gainersRendah,27700,volumeRendah,2287900,nilaiRendah,91,freqRendah
452,LRNA,Eka Sari Lorena Transport Tbk.,Pengembangan,Transportation & Logistic,4,181,2.26%,gainersSedang gainersRendah,57800,volumeRendah,10317000,nilaiRendah,34,freqRendah
453,LSIP,PP London Sumatra Indonesia Tbk.,Utama,Noncyc,0,1130,0.00%,gainersRendah,5632600,volumeRendah,6329742000,nilaiRendah,1226,freqRendah
454,LTLS,Lautan Luas Tbk.,Utama,Basic Materials,10,1435,0.70%,gainersRendah,81000,volumeRendah,116298500,nilaiRendah,93,freqRendah
455,LUCK,Sentral Mitra Informatika Tbk.,Pengembangan,Technology,-1,156,-0.64%,gainersRendah,1160200,volumeRendah,180590700,nilaiRendah,393,freqRendah
456,LUCY,Lima Dua Lima Tiga Tbk.,Akselerasi,Cyclic,3,194,1.57%,gainersRendah,2164100,volumeRendah,422010300,nilaiRendah,207,freqRendah
457,MABA,Marga Abhinaya Abadi Tbk.,Pengembangan,Cyclic,0,50,0.00%,gainersRendah,0,volumeRendah,0,nilaiRendah,0,freqRendah
458,MAGP,Multi Agro Gemilang Plantation Tbk.,Pengembangan,Noncyc,0,50,0.00%,gainersRendah,0,volumeRendah,0,nilaiRendah,0,freqRendah
459,MAIN,Malindo Feedmill Tbk.,Utama,Noncyc,10,560,1.82%,gainersRendah,325000,volumeRendah,177575000,nilaiRendah,154,freqRendah
460,MAMI,Mas Murni Indonesia Tbk,Pengembangan,Cyclic,0,50,0.00%,gainersRendah,0,volumeRendah,0,nilaiRendah,0,freqRendah
461,MAPA,Map Aktif Adiperkasa Tbk.,Utama,Cyclic,140,3490,4.18%,gainersSedang gainersRendah,3103100,volumeRendah,10728169000,nilaiRendah,1819,freqRendah
462,MAPB,MAP Boga Adiperkasa Tbk.,Pengembangan,Cyclic,-40,1760,-2.22%,gainersRendah,400,volumeRendah,708500,nilaiRendah,4,freqRendah
463,MAPI,Mitra Adiperkasa Tbk.,Utama,Cyclic,-45,1290,-3.37%,gainersRendah,21938200,volumeSedang volumeRendah,28600275000,nilaiSedang nilaiRendah,4402,freqSedang freqRendah
464,MARI,Mahaka Radio Integra Tbk.,Pengembangan,Cyclic,0,118,0.00%,gainersRendah,30024500,volumeSedang volumeRendah,3581938700,nilaiRendah,1630,freqRendah
465,MARK,Mark Dynamics Indonesia Tbk.,Utama,Industrials,-10,640,-1.54%,gainersRendah,3824400,volumeRendah,2498194500,nilaiRendah,634,freqRendah
466,MASA,Multistrada Arah Sarana Tbk.,Utama,Cyclic,0,2000,0.00%,gainersRendah,1700,volumeRendah,3383000,nilaiRendah,10,freqRendah
467,MASB,Bank Multiarta Sentosa Tbk.,Pengembangan,Financials,-200,3600,-5.26%,gainersRendah,27200,volumeRendah,97142000,nilaiRendah,51,freqRendah
468,MAYA,Bank Mayapada Internasional Tbk.,Utama,Financials,-20,670,-2.90%,gainersRendah,42289500,volumeSedang volumeRendah,30310272500,nilaiSedang nilaiRendah,4058,freqSedang freqRendah
469,MBAP,Mitrabara Adiperdana Tbk.,Pengembangan,Energy,-100,7500,-1.32%,gainersRendah,293300,volumeRendah,2193595000,nilaiRendah,509,freqRendah
470,MBSS,Mitrabahtera Segara Sejati Tbk.,Utama,Energy,-45,1230,-3.53%,gainersRendah,338000,volumeRendah,416024000,nilaiRendah,228,freqRendah
471,MBTO,Martina Berto Tbk.,Utama,Noncyc,-5,132,-3.65%,gainersRendah,356700,volumeRendah,47831900,nilaiRendah,96,freqRendah
472,MCAS,M Cash Integrasi Tbk.,Pengembangan,Technology,-100,10650,-0.93%,gainersRendah,2203300,volumeRendah,23491602500,nilaiSedang nilaiRendah,3669,freqSedang freqRendah
473,MCOL,Prima Andalan Mandiri Tbk.,Utama,Energy,25,7200,0.35%,gainersRendah,206900,volumeRendah,1482560000,nilaiRendah,104,freqRendah
474,MCOR,Bank China Construction Bank Indonesia Tbk.,Utama,Financials,0,88,0.00%,gainersRendah,1448500,volumeRendah,127688700,nilaiRendah,157,freqRendah
475,MDIA,Intermedia Capital Tbk.,Pengembangan,Cyclic,0,52,0.00%,gainersRendah,7856800,volumeRendah,413820200,nilaiRendah,205,freqRendah
476,MDKA,Merdeka Copper Gold Tbk.,Utama,Basic Materials,190,3990,5.00%,gainersSedang gainersRendah,36378200,volumeSedang volumeRendah,141816231000,nilaiSedang nilaiRendah,8071,freqSedang freqRendah
477,MDKI,Emdeki Utama Tbk.,Utama,Basic Materials,1,194,0.52%,gainersRendah,108600,volumeRendah,20982700,nilaiRendah,49,freqRendah
478,MDLN,Modernland Realty Tbk.,Utama,Properties & Real Estate,0,100,0.00%,gainersRendah,14338500,volumeRendah,1434433200,nilaiRendah,556,freqRendah
479,MDRN,Modern Internasional Tbk.,Pengembangan,Industrials,0,50,0.00%,gainersRendah,1000,volumeRendah,50000,nilaiRendah,1,freqRendah
480,MEDC,Medco Energi Internasional Tbk.,Utama,Energy,60,1190,5.31%,gainersSedang gainersRendah,99816400,volumeSedang volumeRendah,114837821000,nilaiSedang nilaiRendah,11431,freqSedang freqRendah
481,MEDS,Hetzer Medical Indonesia Tbk.,Pengembangan,Healthcare,10,171,6.21%,gainersSedang gainersRendah,15122500,volumeRendah,2525918800,nilaiRendah,3209,freqSedang freqRendah
482,MEGA,Bank Mega Tbk.,Utama,Financials,-25,5375,-0.46%,gainersRendah,6900,volumeRendah,36987500,nilaiRendah,22,freqRendah
483,MERK,Merck Tbk.,Pengembangan,Healthcare,-25,5175,-0.48%,gainersRendah,41800,volumeRendah,214515000,nilaiRendah,53,freqRendah
484,META,Nusantara Infrastructure Tbk.,Utama,Infrasctructures,-2,132,-1.49%,gainersRendah,32307200,volumeSedang volumeRendah,4289645200,nilaiRendah,1540,freqRendah
485,MFIN,Mandala Multifinance Tbk.,Pengembangan,Financials,10,1730,0.58%,gainersRendah,53400,volumeRendah,92301500,nilaiRendah,17,freqRendah
486,MFMI,Multifiling Mitra Indonesia Tbk.,Pengembangan,Industrials,-20,775,-2.52%,gainersRendah,2100,volumeRendah,1700500,nilaiRendah,11,freqRendah
487,MGLV,Panca Anugrah Wisesa Tbk.,Akselerasi,Cyclic,-2,139,-1.42%,gainersRendah,1300,volumeRendah,177900,nilaiRendah,9,freqRendah
488,MGNA,Magna Investama Mandiri Tbk.,Pengembangan,Financials,0,50,0.00%,gainersRendah,0,volumeRendah,0,nilaiRendah,0,freqRendah
489,MGRO,Mahkota Group Tbk.,Utama,Noncyc,-10,780,-1.27%,gainersRendah,5134900,volumeRendah,3992726500,nilaiRendah,396,freqRendah
490,MICE,Multi Indocitra Tbk.,Pengembangan,Cyclic,4,474,0.85%,gainersRendah,4330900,volumeRendah,2059576600,nilaiRendah,182,freqRendah
491,MIDI,Midi Utama Indonesia Tbk.,Pengembangan,Noncyc,-30,3070,-0.97%,gainersRendah,700,volumeRendah,2155000,nilaiRendah,6,freqRendah
492,MIKA,Mitra Keluarga Karyasehat Tbk.,Utama,Healthcare,80,2750,3.00%,gainersSedang gainersRendah,21626700,volumeSedang volumeRendah,59835531000,nilaiSedang nilaiRendah,3307,freqSedang freqRendah
493,MINA,Sanurhasta Mitra Tbk.,Pengembangan,Cyclic,0,50,0.00%,gainersRendah,0,volumeRendah,0,nilaiRendah,0,freqRendah
494,MIRA,Mitra International Resources Tbk.,Pengembangan,Transportation & Logistic,0,50,0.00%,gainersRendah,1100,volumeRendah,55000,nilaiRendah,2,freqRendah
495,MITI,Mitra Investindo Tbk.,Pengembangan,Energy,-2,165,-1.20%,gainersRendah,1171700,volumeRendah,193817200,nilaiRendah,199,freqRendah
496,MKNT,Mitra Komunikasi Nusantara Tbk.,Pengembangan,Cyclic,0,50,0.00%,gainersRendah,0,volumeRendah,0,nilaiRendah,0,freqRendah
497,MKPI,Metropolitan Kentjana Tbk.,Pengembangan,Properties & Real Estate,-150,22800,-0.65%,gainersRendah,110000,volumeRendah,2508000000,nilaiRendah,1,freqRendah
498,MLBI,Multi Bintang Indonesia Tbk.,Utama,Noncyc,125,9075,1.40%,gainersRendah,277500,volumeRendah,2512297500,nilaiRendah,109,freqRendah
499,MLIA,Mulia Industrindo Tbk,Pengembangan,Industrials,5,580,0.87%,gainersRendah,12523800,volumeRendah,7150779500,nilaiRendah,614,freqRendah
500,MLPL,Multipolar Tbk.,Utama,Industrials,8,133,6.40%,gainersSedang gainersRendah,181613800,volumeSedang volumeRendah,24000576500,nilaiSedang nilaiRendah,7373,freqSedang freqRendah
501,MLPT,Multipolar Technology Tbk.,Utama,Technology,-50,2070,-2.36%,gainersRendah,22900,volumeRendah,47539000,nilaiRendah,42,freqRendah
502,MMLP,Mega Manunggal Property Tbk.,Pengembangan,Properties & Real Estate,-12,446,-2.62%,gainersRendah,16615300,volumeRendah,7432600200,nilaiRendah,2126,freqRendah
503,MNCN,Media Nusantara Citra Tbk.,Utama,Cyclic,0,815,0.00%,gainersRendah,14383400,volumeRendah,11668468500,nilaiRendah,1282,freqRendah
504,MOLI,Madusari Murni Indah Tbk.,Pengembangan,Basic Materials,8,258,3.20%,gainersSedang gainersRendah,32500,volumeRendah,8254000,nilaiRendah,28,freqRendah
505,MORA,Mora Telematika Indonesia Tbk.,Utama,Infrasctructures,-5,575,-0.86%,gainersRendah,4643500,volumeRendah,2694613000,nilaiRendah,288,freqRendah
506,MPMX,Mitra Pinasthika Mustika Tbk.,Utama,Cyclic,0,1055,0.00%,gainersRendah,18518500,volumeRendah,19503616500,nilaiSedang nilaiRendah,2485,freqRendah
507,MPOW,Megapower Makmur Tbk.,Pengembangan,Infrasctructures,1,93,1.09%,gainersRendah,5068100,volumeRendah,465901800,nilaiRendah,588,freqRendah
508,MPPA,Matahari Putra Prima Tbk.,Utama,Noncyc,17,151,12.69%,gainersTinggi gainersSedang gainersRendah,463368200,volumeTinggi volumeSedang volumeRendah,67813171600,nilaiSedang nilaiRendah,42448,freqTinggi freqSedang freqRendah
509,MPRO,Maha Properti Indonesia Tbk.,Pengembangan,Properties & Real Estate,0,1755,0.00%,gainersRendah,0,volumeRendah,0,nilaiRendah,0,freqRendah
510,MRAT,Mustika Ratu Tbk.,Utama,Noncyc,10,600,1.69%,gainersRendah,9271100,volumeRendah,5831487000,nilaiRendah,2349,freqRendah
511,MREI,Maskapai Reasuransi Indonesia Tbk.,Pengembangan,Financials,-230,3890,-5.58%,gainersRendah,39500,volumeRendah,156053000,nilaiRendah,137,freqRendah
512,MSIN,MNC Digital Entertainment Tbk.,Utama,Cyclic,-10,4990,-0.20%,gainersRendah,2179800,volumeRendah,10884705000,nilaiRendah,295,freqRendah
